iteration	cluster a	cluster b	new cluster	d(a,b)	# cluster a-b
1	3	4	33	32125.824166000293	2
2	9	11	34	32861.54435313901	2
3	6	7	35	35586.34884836733	2
4	8	35	36	36182.814032714465	3
5	10	34	37	39452.805650990485	3
6	16	17	38	40902.43635880227	2
7	5	33	39	44376.35735249901	3
8	21	23	40	49018.523391598406	2
9	2	28	41	58987.53721994394	2
10	29	36	42	60593.92687296684	4
11	27	41	43	61038.39616304543	3
12	22	40	44	64208.62604915233	3
13	13	14	45	65376.03063194336	2
14	15	38	46	72034.1176414411	3
15	20	39	47	90581.4053612891	4
16	25	30	48	90718.43315469535	2
17	42	46	49	93386.5475268187	7
18	0	1	50	96276.1004044198	2
19	37	43	51	100343.39253070518	6
20	47	51	52	112647.44745755532	10
21	19	49	53	113907.25138184133	8
22	18	53	54	121121.12864620265	9
23	52	54	55	123355.72389341232	19
24	24	26	56	133604.40617631868	2
25	32	48	57	137545.92457334755	3
26	44	55	58	143485.258348024	22
27	31	56	59	146814.8787025977	3
28	50	58	60	155061.29505167354	24
29	12	60	61	166866.9692957975	25
30	57	59	62	198037.7946866469	6
31	61	62	63	205783.2593625967	31
32	45	63	64	222341.6301328104	33
